Model,Threshold,Net Benefit
Treat None,0.05,0.0
Treat All,0.05,0.17955425780467235
HybridXGBRF (Our Approach),0.05,0.18932702661637146
LogisticRegression (max_iter=200),0.05,0.18332859889147998
XGBClassifier,0.05,0.18644452225077565
RandomForestClassifier,0.05,0.18586097476652597
LogisticRegression (max_iter=1000),0.05,0.18309297783180178
Ridge,0.05,0.18300269312669146
Lasso,0.05,0.18299828899473486
Elastic,0.05,0.18300049106071314
Treat None,0.1,0.0
Treat All,0.1,0.1339739387938208
HybridXGBRF (Our Approach),0.1,0.1662413009218582
LogisticRegression (max_iter=200),0.1,0.15351751902523836
XGBClassifier,0.1,0.16507909943331056
RandomForestClassifier,0.1,0.16259198824781854
LogisticRegression (max_iter=1000),0.1,0.15422413753027536
Ridge,0.1,0.15457744678279384
Lasso,0.1,0.15464253006615253
Elastic,0.1,0.154605339618519
Treat None,0.15,0.0
Treat All,0.15,0.0830312293111044
HybridXGBRF (Our Approach),0.15,0.1487213185763825
LogisticRegression (max_iter=200),0.15,0.12990349899216622
XGBClassifier,0.15,0.14831030943819729
RandomForestClassifier,0.15,0.143488950745354
LogisticRegression (max_iter=1000),0.15,0.13052370439829
Ridge,0.15,0.12995764390857384
Lasso,0.15,0.1300560892111332
Elastic,0.15,0.12998471636677766
Treat None,0.2,0.0
Treat All,0.2,0.02572068114304843
HybridXGBRF (Our Approach),0.2,0.13333124137065397
LogisticRegression (max_iter=200),0.2,0.10965022384000671
XGBClassifier,0.2,0.13226434040416718
RandomForestClassifier,0.2,0.12633362620810845
LogisticRegression (max_iter=1000),0.2,0.11064390611271495
Ridge,0.2,0.10978620141416678
Lasso,0.2,0.10976528178737291
Elastic,0.2,0.10973390234718212
Treat None,0.25,0.0
Treat All,0.25,-0.039231273447415005
HybridXGBRF (Our Approach),0.25,0.1194371225750666
LogisticRegression (max_iter=200),0.25,0.09118167998549574
XGBClassifier,0.25,0.12002287212529461
RandomForestClassifier,0.25,0.11210130677935373
LogisticRegression (max_iter=1000),0.25,0.0913908762534343
Ridge,0.25,0.09086091237465657
Lasso,0.25,0.09101432297114487
Elastic,0.25,0.09097248371755716
Treat None,0.3,0.0
Treat All,0.3,-0.11346207869365893
HybridXGBRF (Our Approach),0.3,0.10851906973408165
LogisticRegression (max_iter=200),0.3,0.07142558291045802
XGBClassifier,0.3,0.1068395225543462
RandomForestClassifier,0.3,0.10043213971919884
LogisticRegression (max_iter=1000),0.3,0.0735175455898438
Ridge,0.3,0.07280030124262583
Lasso,0.3,0.07283616345998672
Elastic,0.3,0.07273455384413084
Treat None,0.35,0.0
Treat All,0.35,-0.19911300782394037
HybridXGBRF (Our Approach),0.35,0.09662936536289116
LogisticRegression (max_iter=200),0.35,0.05077354343075443
XGBClassifier,0.35,0.09518108350793175
RandomForestClassifier,0.35,0.09022474115984846
LogisticRegression (max_iter=1000),0.35,0.05229263017640073
Ridge,0.35,0.05112113107594469
Lasso,0.35,0.05103423416464711
Elastic,0.35,0.051098602247089765
Treat None,0.39999999999999997,0.0
Treat All,0.39999999999999997,-0.29903909180926863
HybridXGBRF (Our Approach),0.39999999999999997,0.08928496715618595
LogisticRegression (max_iter=200),0.39999999999999997,0.032941438991395074
XGBClassifier,0.39999999999999997,0.08623070164428268
RandomForestClassifier,0.39999999999999997,0.08165627658535905
LogisticRegression (max_iter=1000),0.39999999999999997,0.03549363346024574
Ridge,0.39999999999999997,0.03506129450650601
Lasso,0.39999999999999997,0.03503340167078087
Elastic,0.39999999999999997,0.0351170801779563
Treat None,0.44999999999999996,0.0
Treat All,0.44999999999999996,-0.41713355470102026
HybridXGBRF (Our Approach),0.44999999999999996,0.08053675958784531
LogisticRegression (max_iter=200),0.44999999999999996,0.02118207302090823
XGBClassifier,0.44999999999999996,0.08021345626466753
RandomForestClassifier,0.44999999999999996,0.07336703295031399
LogisticRegression (max_iter=1000),0.44999999999999996,0.02211775087386987
Ridge,0.44999999999999996,0.0215396084606578
Lasso,0.44999999999999996,0.021474947796022235
Elastic,0.44999999999999996,0.021421697836910593
Treat None,0.49999999999999994,0.0
Treat All,0.49999999999999994,-0.5588469101711224
HybridXGBRF (Our Approach),0.49999999999999994,0.07049914229530146
LogisticRegression (max_iter=200),0.49999999999999994,0.01263545458349024
XGBClassifier,0.49999999999999994,0.0740136395966696
RandomForestClassifier,0.49999999999999994,0.06623153842935443
LogisticRegression (max_iter=1000),0.49999999999999994,0.01255177607631481
Ridge,0.49999999999999994,0.01271913309066567
Lasso,0.49999999999999994,0.012677293837077955
Elastic,0.49999999999999994,0.01271913309066567
Treat None,0.5499999999999999,0.0
Treat All,0.5499999999999999,-0.732052122412358
HybridXGBRF (Our Approach),0.5499999999999999,0.06271704112798628
LogisticRegression (max_iter=200),0.5499999999999999,0.006596655648996561
XGBClassifier,0.5499999999999999,0.0647532181359218
RandomForestClassifier,0.5499999999999999,0.05900264517058794
LogisticRegression (max_iter=1000),0.5499999999999999,0.005476293414036611
Ridge,0.5499999999999999,0.00540191251876956
Lasso,0.5499999999999999,0.00541121013067794
Elastic,0.5499999999999999,0.005513483861670138
Treat None,0.6,0.0
Treat All,0.6,-0.9485586377139028
HybridXGBRF (Our Approach),0.6,0.05432827078364923
LogisticRegression (max_iter=200),0.6,-0.0020501234257980817
XGBClassifier,0.6,0.05455838667838167
RandomForestClassifier,0.6,0.05160871930044769
LogisticRegression (max_iter=1000),0.6,-0.0010459813396928967
Ridge,0.6,-0.0011714991004560457
Lasso,0.6,-0.0011924187272498998
Elastic,0.6,-0.001213338354043761
Treat None,0.65,0.0
Treat All,0.65,-1.226924157387318
HybridXGBRF (Our Approach),0.65,0.047523415039418544
LogisticRegression (max_iter=200),0.65,-0.007399570848798918
XGBClassifier,0.65,0.04366822667312186
RandomForestClassifier,0.65,0.04312431637648156
LogisticRegression (max_iter=1000),0.65,-0.00736370863143802
Ridge,0.65,-0.0073278464140771205
Lasso,0.65,-0.007369685667664836
Elastic,0.65,-0.0073278464140771205
Treat None,0.7,0.0
Treat All,0.7,-1.5980781836185372
HybridXGBRF (Our Approach),0.7,0.03783663166115784
LogisticRegression (max_iter=200),0.7,-0.007726315495864885
XGBClassifier,0.7,0.03824107777917242
RandomForestClassifier,0.7,0.03655356121780122
LogisticRegression (max_iter=1000),0.7,-0.008074975942429187
Ridge,0.7,-0.007698422660139741
Lasso,0.7,-0.007642636988689452
Elastic,0.7,-0.007642636988689452
Treat None,0.75,0.0
Treat All,0.75,-2.117693820342245
HybridXGBRF (Our Approach),0.75,0.030417137358269525
LogisticRegression (max_iter=200),0.75,-0.00711267310991172
XGBClassifier,0.75,0.023220785741182377
RandomForestClassifier,0.75,0.02556378394209447
LogisticRegression (max_iter=1000),0.75,-0.008409689971130913
Ridge,0.75,-0.007782101167315176
Lasso,0.75,-0.007656583406552027
Elastic,0.75,-0.007656583406552027
Treat None,0.7999999999999999,0.0
Treat All,0.7999999999999999,-2.8971172754278047
HybridXGBRF (Our Approach),0.7999999999999999,0.019622609932638806
LogisticRegression (max_iter=200),0.7999999999999999,-0.006150370277394247
XGBClassifier,0.7999999999999999,0.0010459813396929
RandomForestClassifier,0.7999999999999999,0.014267185473411173
LogisticRegression (max_iter=1000),0.7999999999999999,-0.0074892263922011594
Ridge,0.7999999999999999,-0.007154512363499431
Lasso,0.7999999999999999,-0.0068197983347977045
Elastic,0.7999999999999999,-0.006987155349148569
Treat None,0.85,0.0
Treat All,0.85,-4.196156367237075
HybridXGBRF (Our Approach),0.85,0.008507314896168919
LogisticRegression (max_iter=200),0.85,-0.004825460580449911
XGBClassifier,0.85,0.0
RandomForestClassifier,0.85,0.0030961047654909854
LogisticRegression (max_iter=1000),0.85,-0.004504692969610755
Ridge,0.85,-0.004114193269458739
Lasso,0.85,-0.004114193269458739
Elastic,0.85,-0.004114193269458739
Treat None,0.9,0.0
Treat All,0.9,-6.794234550855614
HybridXGBRF (Our Approach),0.9,-0.00025103552152629604
LogisticRegression (max_iter=200),0.9,-0.0035144973013681445
XGBClassifier,0.9,0.0
RandomForestClassifier,0.9,-0.0086188862390695
LogisticRegression (max_iter=1000),0.9,-0.0041839253587716
Ridge,0.9,-0.004309443119534748
Lasso,0.9,-0.004309443119534748
Elastic,0.9,-0.004309443119534748
Treat None,0.95,0.0
Treat All,0.95,-14.58846910171121
HybridXGBRF (Our Approach),0.95,0.0
LogisticRegression (max_iter=200),0.95,-0.003974729090833015
XGBClassifier,0.95,0.0
RandomForestClassifier,0.95,-0.028283335425295972
LogisticRegression (max_iter=1000),0.95,-0.003932889837245299
Ridge,0.95,-0.0031379440190786967
Lasso,0.95,-0.0031379440190786967
Elastic,0.95,-0.0031379440190786967
