Characteristic,"Development cohort N=23,901",Development %,"Submitted excluded without ADL data n=11,449",Submitted excluded %,Submitted P,"Current excluded insufficient follow-up n=19,756",Current excluded %,Current excluded missing,Current P vs submitted development cohort
"Age, mean ± SDa",79.3±11.8,,78.5±17.0,,< 0.001,76.6±14.9,,0,<0.001
Age group,,,,,< 0.001,,,,<0.001
65-69,1926,8.1%,868,7.6%,,1943,9.8%,0,<0.001
70-74,2794,11.7%,1234,10.8%,,2636,13.3%,0,<0.001
75-79,3112,13.0%,1435,12.5%,,2860,14.5%,0,<0.001
80-84,4345,18.2%,1939,16.9%,,3605,18.2%,0,0.854
85-89,4734,19.8%,2116,18.5%,,3068,15.5%,0,<0.001
90+,4448,18.6%,2301,20.1%,,2573,13.0%,0,<0.001
Sex,,,,,0.73,,,,0.021
Male,"11,746",49.1%,5649,49.3%,,9929,50.3%,0,0.021
Female,"12,155",50.9%,5800,50.7%,,9827,49.7%,0,0.021
"CIRS-Ga, mean ± SD",1.74±0.59,,1.49±0.55,,< 0.001,NA,,19756,
DNRa Notes (+),9777,40.9%,3269,28.6%,< 0.001,5032,25.5%,0,<0.001
ADLa,,,,,,,,,
"First score, mean ± SD",28.6±31.7,,15.1±22.9,,< 0.001,32.6±30.9,,6861,<0.001
"Max score in 6 months, mean ± SD",31.0±32.7,,15.4±23.3,,< 0.001,34.0±31.6,,6715,<0.001
"Last score, mean ± SD",28.5±31.8,,13.3±21.7,,< 0.001,30.6±31.1,,14825,<0.001
"GCSa,b (EVM), mean ± SD",7.7±5.3,,7.0±4.9,,< 0.001,7.1±5.3,,7949,<0.001
Dentures,3918,16.4%,44,0.4%,< 0.001,2155,18.3%,7949,<0.001
Tube feeding,2081,8.7%,23,0.2%,< 0.001,978,8.3%,7949,0.179
Respiratory support,848,3.5%,12,0.1%,< 0.001,407,3.4%,7949,0.626
History of falls,1197,5.0%,5,0.04%,< 0.001,NA,,19756,
"BWa, mean ± SD",51.4±12.0,,52.1±11.3,,< 0.001,55.2±12.9,,9584,<0.001
"Number of admissions in six months, mean ± SD",0.5±1.0,,0.13±0.48,,< 0.001,0.3±0.7,,0,<0.001
