Facility,N,Overall Missing Percent
3466,1,0.723404255319149
3052,1,0.723404255319149
290,1,0.723404255319149
271,1,0.723404255319149
317,1,0.723404255319149
945,1,0.723404255319149
3040,1,0.723404255319149
1103,1,0.723404255319149
3041,1,0.723404255319149
3042,1,0.723404255319149
782,1,0.723404255319149
3043,1,0.723404255319149
3044,1,0.723404255319149
3045,1,0.723404255319149
4293,1,0.723404255319149
3057,1,0.723404255319149
720,1,0.723404255319149
3062,1,0.723404255319149
737,1,0.723404255319149
534,1,0.6595744680851063
5347,1,0.6595744680851063
3060,1,0.6595744680851063
952,1,0.6595744680851063
3038,1,0.6595744680851063
633,1,0.6595744680851063
3036,1,0.6595744680851063
3037,1,0.6595744680851063
4020,1,0.6595744680851063
3034,1,0.6595744680851063
248,1,0.6595744680851063
262,1,0.6595744680851063
1017,1,0.6595744680851063
632,1,0.6595744680851063
5316,1,0.6595744680851063
140,1,0.6595744680851063
3056,1,0.6595744680851063
372,1,0.6595744680851063
866,1,0.6595744680851063
209,1,0.6595744680851063
821,1,0.6595744680851063
3054,1,0.6595744680851063
5560,1,0.6595744680851063
3053,1,0.6595744680851063
122,1,0.6595744680851063
5304,1,0.6595744680851063
3046,1,0.6595744680851063
3049,1,0.6595744680851063
3050,1,0.6595744680851063
3051,1,0.6595744680851063
5332,1,0.6595744680851063
281,1,0.6595744680851063
438,1,0.6595744680851063
2279,1,0.6595744680851063
436,1,0.6595744680851063
309,1,0.6595744680851063
418,1,0.6595744680851063
419,1,0.6595744680851063
2284,1,0.6595744680851063
435,1,0.6595744680851063
2199,1,0.6595744680851063
1032,2,0.6276595744680851
20265,1,0.5957446808510638
20264,1,0.5957446808510638
20303,1,0.5957446808510638
20290,1,0.5957446808510638
422,1,0.5957446808510638
1028,1,0.5957446808510638
20227,1,0.5957446808510638
20305,1,0.5957446808510638
20225,1,0.5957446808510638
1045,1,0.5957446808510638
54,1,0.5957446808510638
1006,1,0.5957446808510638
4,1,0.5957446808510638
20333,1,0.5957446808510638
3058,1,0.5957446808510638
1043,1,0.5957446808510638
20318,1,0.5957446808510638
415,1,0.5957446808510638
150,2,0.5638297872340425
23,2,0.5638297872340425
622,2,0.5638297872340425
148,2,0.5319148936170213
5167,2,0.5319148936170213
399,2,0.5319148936170213
20302,1,0.5319148936170213
149,2,0.5319148936170213
302,2,0.5319148936170213
1995,1,0.5319148936170213
12,2,0.5
260,2,0.5
389,2,0.5
1609,5,0.4808510638297872
5341,1,0.46808510638297873
143,1,0.46808510638297873
5289,1,0.46808510638297873
177,1,0.46808510638297873
64,1,0.46808510638297873
279,1,0.46808510638297873
10,2,0.46808510638297873
497,1,0.46808510638297873
526,1,0.46808510638297873
312,1,0.46808510638297873
398,1,0.46808510638297873
1887,1,0.46808510638297873
1847,2,0.46808510638297873
322,1,0.46808510638297873
1106,2,0.46808510638297873
409,2,0.46808510638297873
1782,2,0.46808510638297873
611,1,0.46808510638297873
1644,3,0.4680851063829785
356,3,0.4468085106382978
1639,5,0.4425531914893615
424,2,0.43617021276595747
584,2,0.43617021276595747
384,2,0.43617021276595747
373,2,0.43617021276595747
13,2,0.43617021276595747
1606,4,0.43617021276595747
19,2,0.43617021276595747
156,2,0.43617021276595747
66,3,0.4255319148936171
1525,3,0.4255319148936168
1629,4,0.42021276595744683
272,4,0.42021276595744683
1670,4,0.4148936170212766
29,3,0.40425531914893625
53,3,0.40425531914893625
63,3,0.40425531914893625
473,1,0.40425531914893614
2,1,0.40425531914893614
1809,2,0.40425531914893614
478,1,0.40425531914893614
1095,1,0.40425531914893614
1090,1,0.40425531914893614
1874,1,0.40425531914893614
1919,1,0.40425531914893614
2331,1,0.40425531914893614
1929,1,0.40425531914893614
4298,1,0.40425531914893614
2037,1,0.40425531914893614
2438,1,0.40425531914893614
467,1,0.40425531914893614
718,1,0.40425531914893614
5103,1,0.40425531914893614
1646,2,0.40425531914893614
4332,1,0.40425531914893614
5132,1,0.40425531914893614
5131,1,0.40425531914893614
5130,1,0.40425531914893614
5128,1,0.40425531914893614
1564,4,0.40425531914893614
5127,1,0.40425531914893614
5125,1,0.40425531914893614
5124,1,0.40425531914893614
5123,1,0.40425531914893614
5121,1,0.40425531914893614
5119,1,0.40425531914893614
5118,1,0.40425531914893614
1614,2,0.40425531914893614
401,2,0.40425531914893614
5108,1,0.40425531914893614
5107,1,0.40425531914893614
480,1,0.40425531914893614
479,1,0.40425531914893614
487,1,0.40425531914893614
482,1,0.40425531914893614
648,1,0.40425531914893614
3700,1,0.40425531914893614
3693,1,0.40425531914893614
3634,1,0.40425531914893614
828,1,0.40425531914893614
816,1,0.40425531914893614
773,1,0.40425531914893614
3061,1,0.40425531914893614
644,1,0.40425531914893614
651,1,0.40425531914893614
3764,1,0.40425531914893614
654,1,0.40425531914893614
663,1,0.40425531914893614
669,1,0.40425531914893614
3470,1,0.40425531914893614
696,1,0.40425531914893614
706,1,0.40425531914893614
3468,1,0.40425531914893614
719,1,0.40425531914893614
890,1,0.40425531914893614
919,1,0.40425531914893614
717,1,0.40425531914893614
4243,1,0.40425531914893614
488,1,0.40425531914893614
2461,1,0.40425531914893614
2484,1,0.40425531914893614
490,1,0.40425531914893614
4265,1,0.40425531914893614
2546,1,0.40425531914893614
4264,1,0.40425531914893614
4251,1,0.40425531914893614
4200,1,0.40425531914893614
4106,1,0.40425531914893614
4193,1,0.40425531914893614
971,1,0.40425531914893614
970,1,0.40425531914893614
4174,1,0.40425531914893614
969,1,0.40425531914893614
524,1,0.40425531914893614
966,1,0.40425531914893614
959,1,0.40425531914893614
1,1,0.40425531914893614
4253,1,0.40425531914893614
319,1,0.40425531914893614
31,4,0.40425531914893614
73,1,0.40425531914893614
5269,1,0.40425531914893614
154,1,0.40425531914893614
34,1,0.40425531914893614
152,1,0.40425531914893614
5230,1,0.40425531914893614
5229,1,0.40425531914893614
5357,1,0.40425531914893614
11931,1,0.40425531914893614
11,1,0.40425531914893614
5194,1,0.40425531914893614
151,1,0.40425531914893614
11944,1,0.40425531914893614
5195,1,0.40425531914893614
5197,1,0.40425531914893614
16,1,0.40425531914893614
78,1,0.40425531914893614
141,1,0.40425531914893614
314,1,0.40425531914893614
306,1,0.40425531914893614
11947,1,0.40425531914893614
301,1,0.40425531914893614
265,1,0.40425531914893614
92,1,0.40425531914893614
298,1,0.40425531914893614
296,1,0.40425531914893614
125,1,0.40425531914893614
100,1,0.40425531914893614
119,1,0.40425531914893614
5246,1,0.40425531914893614
268,1,0.40425531914893614
69,1,0.40425531914893614
5248,2,0.40425531914893614
5702,1,0.40425531914893614
52,1,0.40425531914893614
55,2,0.40425531914893614
216,1,0.40425531914893614
59,1,0.40425531914893614
5710,1,0.40425531914893614
5392,1,0.40425531914893614
5714,1,0.40425531914893614
168,1,0.40425531914893614
5242,1,0.40425531914893614
5716,1,0.40425531914893614
5718,1,0.40425531914893614
5,1,0.40425531914893614
167,1,0.40425531914893614
5706,1,0.40425531914893614
5297,1,0.40425531914893614
5379,1,0.40425531914893614
5247,2,0.40425531914893614
5235,1,0.40425531914893614
67,1,0.40425531914893614
5171,1,0.40425531914893614
5162,1,0.40425531914893614
5165,1,0.40425531914893614
6,1,0.40425531914893614
5382,1,0.40425531914893614
1630,7,0.40425531914893603
1591,7,0.40425531914893603
377,3,0.4042553191489359
1610,3,0.4042553191489359
1669,3,0.4042553191489359
1632,3,0.4042553191489359
1659,3,0.4042553191489359
1662,3,0.4042553191489359
1133,97,0.39504277253783704
1561,6,0.39361702127659554
1663,5,0.3914893617021275
1120,94,0.38999547306473514
1131,85,0.3899874843554441
1655,4,0.3882978723404255
1633,4,0.3882978723404255
1132,82,0.38635184224182656
1567,7,0.38601823708206673
