Facility,N,Overall Missing Percent
5402,1,0.723404255319149
3069,1,0.723404255319149
3068,1,0.723404255319149
3066,1,0.723404255319149
459,1,0.723404255319149
3067,1,0.723404255319149
1691,1,0.723404255319149
1570,1,0.723404255319149
1668,1,0.723404255319149
1698,2,0.723404255319149
1719,1,0.723404255319149
1716,1,0.723404255319149
1643,2,0.6914893617021277
3047,1,0.6595744680851063
1859,1,0.6595744680851063
597,1,0.6595744680851063
1659,1,0.6595744680851063
1694,1,0.6595744680851063
1693,1,0.6595744680851063
1695,1,0.6595744680851063
1692,1,0.6595744680851063
1700,1,0.6595744680851063
118,1,0.6595744680851063
1080,1,0.6595744680851063
115,1,0.6595744680851063
121,1,0.6595744680851063
116,1,0.6595744680851063
119,2,0.6595744680851063
149,1,0.6595744680851063
1697,1,0.6595744680851063
1713,1,0.6595744680851063
1641,1,0.6595744680851063
1621,1,0.6595744680851063
5532,1,0.6595744680851063
1629,1,0.6595744680851063
1624,1,0.6595744680851063
1623,1,0.6595744680851063
1736,1,0.6595744680851063
1622,1,0.6595744680851063
1589,1,0.6595744680851063
1696,3,0.595744680851064
531,1,0.5957446808510638
5200,1,0.5957446808510638
1810,1,0.5957446808510638
1662,2,0.5638297872340425
1711,2,0.5638297872340425
1699,3,0.5319148936170214
1690,1,0.5319148936170213
1591,4,0.5319148936170213
117,2,0.5319148936170213
1649,2,0.5
1606,2,0.5
112,2,0.5
114,2,0.5
1576,4,0.5
110,2,0.5
1820,1,0.46808510638297873
1816,1,0.46808510638297873
1849,1,0.46808510638297873
4405,1,0.46808510638297873
3781,1,0.46808510638297873
1706,2,0.46808510638297873
1614,2,0.46808510638297873
1642,2,0.46808510638297873
1638,2,0.46808510638297873
1710,2,0.46808510638297873
1685,2,0.46808510638297873
1683,2,0.46808510638297873
1656,2,0.46808510638297873
1855,1,0.46808510638297873
1704,3,0.4680851063829786
1626,3,0.44680851063829763
1651,2,0.43617021276595747
1654,2,0.43617021276595747
1458,2,0.43617021276595747
1682,2,0.43617021276595747
1612,2,0.43617021276595747
1703,2,0.43617021276595747
1635,2,0.43617021276595747
1633,2,0.43617021276595747
1631,2,0.43617021276595747
1712,2,0.43617021276595747
1705,2,0.43617021276595747
1709,2,0.43617021276595747
1707,2,0.43617021276595747
1565,2,0.43617021276595747
1660,2,0.43617021276595747
1583,2,0.43617021276595747
1593,2,0.43617021276595747
1610,2,0.43617021276595747
1569,2,0.43617021276595747
1587,3,0.42553191489361697
1632,3,0.4255319148936168
1578,4,0.42021276595744683
4361,1,0.40425531914893614
3856,1,0.40425531914893614
450,1,0.40425531914893614
439,1,0.40425531914893614
123,1,0.40425531914893614
5279,1,0.40425531914893614
4391,1,0.40425531914893614
1940,1,0.40425531914893614
1923,1,0.40425531914893614
1937,1,0.40425531914893614
1924,1,0.40425531914893614
4384,1,0.40425531914893614
4364,1,0.40425531914893614
3805,1,0.40425531914893614
1980,1,0.40425531914893614
237,2,0.40425531914893614
447,1,0.40425531914893614
5439,1,0.40425531914893614
5278,1,0.40425531914893614
1646,1,0.40425531914893614
1717,1,0.40425531914893614
2166,1,0.40425531914893614
1242,12,0.4042553191489361
1590,3,0.4042553191489359
1577,3,0.4042553191489359
1609,3,0.4042553191489359
1640,3,0.4042553191489359
1645,3,0.4042553191489359
1702,3,0.4042553191489359
1652,3,0.4042553191489359
1128,10,0.3978723404255319
1454,4,0.3882978723404255
1628,4,0.3882978723404255
1573,4,0.3882978723404255
1586,4,0.3882978723404255
1644,3,0.38297872340425515
1456,3,0.38297872340425515
1506,3,0.38297872340425515
1618,3,0.38297872340425515
1143,18,0.3794326241134753
1130,13,0.3747954173486087
1116,10,0.372340425531915
111,2,0.3723404255319149
1580,4,0.3723404255319149
1550,4,0.3723404255319149
105,2,0.3723404255319149
1139,15,0.3702127659574467
1452,5,0.3617021276595744
1572,3,0.3617021276595744
1181,30,0.3574468085106383
1178,26,0.35515548281505716
1135,14,0.3541033434650455
1455,5,0.3531914893617021
1193,30,0.353191489361702
1608,5,0.353191489361702
1450,7,0.35258358662613976
1249,17,0.35168961201501875
1163,24,0.35017730496453897
1228,22,0.34912959381044484
1241,19,0.34714445688689816
1157,29,0.34629493763756425
1132,13,0.3453355155482815
1145,20,0.34361702127659577
1180,21,0.3434650455927051
1186,22,0.3433268858800773
365,1,0.3404255319148936
325,1,0.3404255319148936
407,1,0.3404255319148936
437,1,0.3404255319148936
134,1,0.3404255319148936
12000,1,0.3404255319148936
5450,1,0.3404255319148936
5452,1,0.3404255319148936
5290,1,0.3404255319148936
5359,1,0.3404255319148936
5296,1,0.3404255319148936
5326,1,0.3404255319148936
5281,2,0.3404255319148936
5335,1,0.3404255319148936
454,1,0.3404255319148936
455,1,0.3404255319148936
456,1,0.3404255319148936
5147,1,0.3404255319148936
5273,2,0.3404255319148936
5274,1,0.3404255319148936
5276,1,0.3404255319148936
452,1,0.3404255319148936
444,1,0.3404255319148936
446,1,0.3404255319148936
448,1,0.3404255319148936
451,1,0.3404255319148936
453,1,0.3404255319148936
441,1,0.3404255319148936
443,1,0.3404255319148936
530,1,0.3404255319148936
1814,1,0.3404255319148936
1821,1,0.3404255319148936
1826,1,0.3404255319148936
1911,1,0.3404255319148936
1981,1,0.3404255319148936
1958,1,0.3404255319148936
1950,1,0.3404255319148936
