Accuracy,Precision,Recall,Sensitivity,Specificity,PPV,NPV,F1,AUROC,Brier,TP,FP,TN,FN,Model,Fold
0.8443840200794813,0.7472178060413355,0.44549763033175355,0.44549763033175355,0.9573268921095008,0.7472178060413355,0.8591040462427746,0.5581947743467933,0.8699413370372915,0.1106262598874371,470,159,3567,585,HybridXGBRF (Our Approach),1
0.856694560669456,0.8019639934533551,0.4648956356736243,0.4648956356736243,0.9675254965110037,0.8019639934533551,0.8647157591748621,0.5885885885885885,0.8854587131200722,0.10495726854008999,490,121,3605,564,HybridXGBRF (Our Approach),2
0.847907949790795,0.7738693467336684,0.43833017077798864,0.43833017077798864,0.9637681159420289,0.7738693467336684,0.858474778866842,0.5596608116293156,0.8745189962120633,0.1090579037426073,462,135,3591,592,HybridXGBRF (Our Approach),3
0.849163179916318,0.7630331753554502,0.45825426944971537,0.45825426944971537,0.9597423510466989,0.7630331753554502,0.8623101036894141,0.5726141078838174,0.8682809703799446,0.11050971047340558,483,150,3576,571,HybridXGBRF (Our Approach),4
0.8514644351464435,0.7851239669421488,0.45023696682464454,0.45023696682464454,0.9651006711409396,0.7851239669421488,0.8610778443113772,0.572289156626506,0.8781471420846718,0.10761397038482515,475,130,3595,580,HybridXGBRF (Our Approach),5
0.7889562852959632,0.5653409090909091,0.18862559241706162,0.18862559241706162,0.9589371980676329,0.5653409090909091,0.8067283811244074,0.2828713574982232,0.7854408498752204,0.1427142562322732,199,153,3573,856,LogisticRegression (max_iter=200),1
0.7949790794979079,0.5973684210526315,0.21537001897533206,0.21537001897533206,0.9589371980676329,0.5973684210526315,0.8120454545454545,0.31659693165969316,0.8042170714839362,0.13807981631249844,227,153,3573,827,LogisticRegression (max_iter=200),2
0.792468619246862,0.5815789473684211,0.20967741935483872,0.20967741935483872,0.9573268921095008,0.5815789473684211,0.8106818181818182,0.3082287308228731,0.7958244593354458,0.14030080852901278,221,159,3567,833,LogisticRegression (max_iter=200),3
0.7964435146443515,0.5995085995085995,0.2314990512333966,0.2314990512333966,0.9562533548040795,0.5995085995085995,0.8147724674136748,0.33401779603011633,0.7861528201743531,0.14248649129766847,244,163,3563,810,LogisticRegression (max_iter=200),4
0.7874476987447698,0.56,0.17251184834123223,0.17251184834123223,0.9616107382550335,0.56,0.804040404040404,0.263768115942029,0.803349088711473,0.13971726588572778,182,143,3582,873,LogisticRegression (max_iter=200),5
0.8519138255595063,0.7839607201309329,0.45402843601895737,0.45402843601895737,0.964573268921095,0.7839607201309329,0.8618705035971223,0.575030012004802,0.8703497645595317,0.11183051549587346,479,132,3594,576,XGBClassifier,1
