Variable,Missing N,Missing Percent,Missing Percent Dead,Missing Percent Alive,Difference Dead-Alive
dbname,6216,1.0,1.0,1.0,0.0
結案日期,6216,1.0,1.0,1.0,0.0
意識分級,6216,1.0,1.0,1.0,0.0
入家日期,6216,1.0,1.0,1.0,0.0
disease_last_score,4656,0.749034749034749,0.8646827624929815,0.7025930101465614,0.1620897523464201
disease_diff_seq,4656,0.749034749034749,0.8646827624929815,0.7025930101465614,0.1620897523464201
disease_std,4656,0.749034749034749,0.8646827624929815,0.7025930101465614,0.1620897523464201
disease_Max,3962,0.6373873873873874,0.587871982032566,0.657271702367531,-0.069399720334965
disease_Min,3962,0.6373873873873874,0.587871982032566,0.657271702367531,-0.069399720334965
disease_first_score,3962,0.6373873873873874,0.587871982032566,0.657271702367531,-0.069399720334965
last_ 意識_V,3569,0.5741634491634492,0.6215609208309938,0.5551296505073281,0.06643127032366569
first_ 意識_V,3569,0.5741634491634492,0.6215609208309938,0.5551296505073281,0.06643127032366569
last_ 意識_E,3522,0.5666023166023166,0.6131386861313869,0.5479143179255919,0.06522436820579502
first_ 意識_E,3522,0.5666023166023166,0.6131386861313869,0.5479143179255919,0.06522436820579502
first_ 意識_M,3517,0.5657979407979408,0.6120157215047726,0.5472378804960542,0.06477784100871842
last_ 意識_M,3517,0.5657979407979408,0.6120157215047726,0.5472378804960542,0.06477784100871842
ADL_std,1562,0.25128700128700127,0.609769792251544,0.10732807215332582,0.5024417200982182
ADL_diff_seq,1562,0.25128700128700127,0.609769792251544,0.10732807215332582,0.5024417200982182
ADL_last_score,1562,0.25128700128700127,0.609769792251544,0.10732807215332582,0.5024417200982182
BW_diff_seq,930,0.14961389961389962,0.23919146546883774,0.11364148816234498,0.12554997730649275
BW_last,930,0.14961389961389962,0.23919146546883774,0.11364148816234498,0.12554997730649275
BW_first,930,0.14961389961389962,0.23919146546883774,0.11364148816234498,0.12554997730649275
使用呼吸輔具,558,0.08976833976833977,0.09152161706906232,0.08906426155580609,0.0024573555132562375
had_fall,558,0.08976833976833977,0.09152161706906232,0.08906426155580609,0.0024573555132562375
diff_has_feeding_tube,558,0.08976833976833977,0.09152161706906232,0.08906426155580609,0.0024573555132562375
last_has_feeding_tube,558,0.08976833976833977,0.09152161706906232,0.08906426155580609,0.0024573555132562375
first_has_feeding_tube,558,0.08976833976833977,0.09152161706906232,0.08906426155580609,0.0024573555132562375
last_ 意識總分,558,0.08976833976833977,0.09152161706906232,0.08906426155580609,0.0024573555132562375
意識總分_diff,558,0.08976833976833977,0.09152161706906232,0.08906426155580609,0.0024573555132562375
意識總分Max,558,0.08976833976833977,0.09152161706906232,0.08906426155580609,0.0024573555132562375
first_has_denture,558,0.08976833976833977,0.09152161706906232,0.08906426155580609,0.0024573555132562375
first_ 意識總分,558,0.08976833976833977,0.09152161706906232,0.08906426155580609,0.0024573555132562375
diff_has_denture,558,0.08976833976833977,0.09152161706906232,0.08906426155580609,0.0024573555132562375
last_has_denture,558,0.08976833976833977,0.09152161706906232,0.08906426155580609,0.0024573555132562375
ADL_first_score,41,0.006595881595881596,0.017405951712521055,0.002254791431792559,0.015151160280728496
ADL_Max,41,0.006595881595881596,0.017405951712521055,0.002254791431792559,0.015151160280728496
ADL_Min,41,0.006595881595881596,0.017405951712521055,0.002254791431792559,0.015151160280728496
