Decile,N,Deaths,Mean Predicted Risk,Observed Risk,Min Predicted Risk,Max Predicted Risk
1,622,7,0.020090795518872342,0.011254019292604502,0.01008710078895092,0.027254357933998108
2,622,10,0.032762323658901395,0.01607717041800643,0.027293739840388298,0.03840801492333412
3,621,17,0.04707357929884524,0.027375201288244767,0.038417693227529526,0.05902722850441933
4,622,64,0.09055682417855769,0.10289389067524116,0.059113163501024246,0.11991087347269058
5,624,98,0.13571465539578825,0.15705128205128205,0.11992824077606201,0.15475121140480042
6,622,123,0.18592983589678333,0.1977491961414791,0.15478479862213135,0.223862886428833
7,618,183,0.2685124444922969,0.2961165048543689,0.22389984130859375,0.3116123080253601
8,623,271,0.3693221283188601,0.434991974317817,0.311716765165329,0.42732784152030945
9,622,456,0.5373827327773502,0.7331189710610932,0.4273851811885834,0.6720984578132629
10,620,552,0.7888277983473193,0.8903225806451613,0.6725492477416992,0.9094045162200928
