Feature,Feature_EN,MeanAbsSHAP
六個月內住院次數,Hospitalizations within 6 Months,0.09948165319490121
ADL_diff_seq,ADL Change,0.08739074936720574
BW_diff_seq,Body Weight Change,0.0651980194534661
ADL_last_score,ADL Last Score,0.0439645521853179
ADL_總分_max,ADL Total Max,0.016678348118987853
性別_is_male,Male,0.008861556583820953
ADL_Max,ADL Maximum,0.008046724174853897
ADL_std,ADL Standard Deviation,0.006663062217657525
BW_first,Body Weight (First),0.00474479815075919
使用呼吸輔具,Use of Respiratory Aid,0.0041599318354061205
BW_last,Body Weight (Last),0.003112863848084312
DNR_flag,DNR Flag,0.002431726269343627
預估年齡,Estimated Age,0.0015273322983005327
ADL_first_score,ADL First Score,0.0011683749164679345
ADL_Min,ADL Minimum,0.0006837702833292627
意識總分_diff,Consciousness Score Difference,0.0006777294040660306
last_has_feeding_tube,Has Feeding Tube (Last),0.0006413074930225297
first_has_feeding_tube,Has Feeding Tube (First),0.0005630092988201918
diff_has_feeding_tube,Feeding Tube Change,0.0005478428737097962
意識總分Max,Consciousness Score Max,0.0005369138697163436
first_has_denture,Has Denture (First),0.0005162391676477739
diff_has_denture,Denture Change,0.0005018082744499686
ADL_明顯惡化,ADL Significant Deterioration,0.0005007644751162425
first_ 意識總分,Consciousness Score (First),0.0004357186324779657
last_has_denture,Has Denture (Last),0.0004313073242535192
ADL_first_CouldNot,ADL First Could Not Perform,0.0004197274562470308
ADL_last_CouldNot,ADL Last Could Not Perform,0.0003941421175611174
had_fall,Had Fall,0.00025953027266785965
last_ 意識總分,Consciousness Score (Last),0.00024340667469208626
