Time,Survival,At risk,Events,Risk group
0.0,1.0,2072,0,Low predicted risk
1.0,0.999034749034749,2072,2,Low predicted risk
3.0,0.9985521235521234,2070,1,Low predicted risk
12.0,0.998069498069498,2069,1,Low predicted risk
13.0,0.9975868725868725,2068,1,Low predicted risk
15.0,0.997104247104247,2067,1,Low predicted risk
19.0,0.9966216216216216,2066,1,Low predicted risk
26.0,0.9961389961389961,2065,1,Low predicted risk
29.0,0.9956563706563707,2064,1,Low predicted risk
31.0,0.9951737451737452,2063,1,Low predicted risk
34.0,0.9946911196911198,2062,1,Low predicted risk
49.0,0.9937258687258689,2061,2,Low predicted risk
55.0,0.9932432432432433,2059,1,Low predicted risk
56.0,0.9927606177606179,2058,1,Low predicted risk
57.0,0.9922779922779924,2057,1,Low predicted risk
61.0,0.991795366795367,2056,1,Low predicted risk
62.0,0.9913127413127415,2055,1,Low predicted risk
66.0,0.990830115830116,2054,1,Low predicted risk
67.0,0.9903474903474906,2053,1,Low predicted risk
68.0,0.9898648648648651,2052,1,Low predicted risk
78.0,0.9893822393822397,2051,1,Low predicted risk
83.0,0.9888996138996142,2050,1,Low predicted risk
89.0,0.9884169884169888,2049,1,Low predicted risk
91.0,0.9879343629343633,2048,1,Low predicted risk
92.0,0.9874517374517379,2047,1,Low predicted risk
93.0,0.9864864864864868,2046,2,Low predicted risk
98.0,0.9860038610038614,2044,1,Low predicted risk
101.0,0.9850386100386105,2043,2,Low predicted risk
104.0,0.984555984555985,2041,1,Low predicted risk
105.0,0.9840733590733596,2040,1,Low predicted risk
108.0,0.9831081081081086,2039,2,Low predicted risk
111.0,0.9826254826254831,2037,1,Low predicted risk
116.0,0.9821428571428575,2036,1,Low predicted risk
121.0,0.9811776061776065,2035,2,Low predicted risk
125.0,0.9802123552123556,2033,2,Low predicted risk
129.0,0.9797297297297302,2031,1,Low predicted risk
131.0,0.9792471042471046,2030,1,Low predicted risk
134.0,0.9787644787644791,2029,1,Low predicted risk
136.0,0.9782818532818537,2028,1,Low predicted risk
144.0,0.9777992277992282,2027,1,Low predicted risk
147.0,0.9773166023166028,2026,1,Low predicted risk
164.0,0.9768339768339773,2025,1,Low predicted risk
165.0,0.9763513513513518,2024,1,Low predicted risk
167.0,0.9758687258687263,2023,1,Low predicted risk
175.0,0.9753861003861009,2022,1,Low predicted risk
0.0,1.0,2072,0,Medium predicted risk
0.5,0.997104247104247,2072,6,Medium predicted risk
1.0,0.996138996138996,2066,2,Medium predicted risk
3.0,0.9946911196911196,2064,3,Medium predicted risk
5.0,0.9942084942084941,2061,1,Medium predicted risk
7.0,0.9932432432432431,2060,2,Medium predicted risk
8.0,0.9927606177606176,2058,1,Medium predicted risk
9.0,0.9922779922779922,2057,1,Medium predicted risk
10.0,0.9917953667953667,2056,1,Medium predicted risk
11.0,0.9903474903474903,2055,3,Medium predicted risk
12.0,0.9898648648648648,2052,1,Medium predicted risk
14.0,0.9888996138996139,2051,2,Medium predicted risk
15.0,0.987934362934363,2049,2,Medium predicted risk
16.0,0.9874517374517375,2047,1,Medium predicted risk
18.0,0.9860038610038611,2046,3,Medium predicted risk
20.0,0.9855212355212355,2043,1,Medium predicted risk
21.0,0.9845559845559845,2042,2,Medium predicted risk
22.0,0.983108108108108,2040,3,Medium predicted risk
23.0,0.9816602316602315,2037,3,Medium predicted risk
25.0,0.9811776061776061,2034,1,Medium predicted risk
26.0,0.9797297297297296,2033,3,Medium predicted risk
27.0,0.979247104247104,2030,1,Medium predicted risk
28.0,0.978281853281853,2029,2,Medium predicted risk
30.0,0.9777992277992276,2027,1,Medium predicted risk
31.0,0.9773166023166021,2026,1,Medium predicted risk
32.0,0.9763513513513511,2025,2,Medium predicted risk
33.0,0.9753861003861002,2023,2,Medium predicted risk
34.0,0.9744208494208493,2021,2,Medium predicted risk
35.0,0.9739382239382238,2019,1,Medium predicted risk
