Month,Day,Cases by time t,Controls event-free beyond t,Excluded censored before t,Cumulative/Dynamic AUC,Cohort
1,30,1811,22090,0,0.9189177900056967,Development
2,60,2928,20973,0,0.9105182789008714,Development
3,90,3707,20194,0,0.9008690493152487,Development
4,120,4334,19567,0,0.8909387901977208,Development
5,150,4848,19053,0,0.8846240084762689,Development
6,180,5272,0,18629,,Development
1,30,729,5487,0,0.906986659826706,Temporal external validation
2,60,1136,5080,0,0.9120939094210936,Temporal external validation
3,90,1372,4844,0,0.9012571231158502,Temporal external validation
4,120,1552,4664,0,0.8931249557921167,Temporal external validation
5,150,1682,4534,0,0.8891275693701755,Temporal external validation
6,180,1781,0,4435,,Temporal external validation
