Decile,N,Deaths,Mean Predicted Risk,Observed Risk,Min Predicted Risk,Max Predicted Risk
1,623,7,0.02040940959658324,0.011235955056179775,0.009936193935573101,0.02728966996073723
2,621,9,0.034418386537671666,0.014492753623188406,0.0274602472782135,0.04113876074552536
3,622,24,0.049655509837139455,0.03858520900321544,0.041141536086797714,0.05686118081212044
4,621,46,0.06877423112615103,0.07407407407407407,0.056894827634096146,0.08497396111488342
5,621,77,0.11734943517788213,0.12399355877616747,0.08519753813743591,0.15603816509246826
6,622,123,0.18594908316610712,0.1977491961414791,0.15611261129379272,0.21311257779598236
7,621,188,0.2481600709631439,0.3027375201288245,0.21329176425933838,0.286172479391098
8,623,258,0.36716757985026266,0.41412520064205455,0.28624069690704346,0.47843611240386963
9,620,461,0.608246857168213,0.7435483870967742,0.4791860580444336,0.7400417923927307
10,622,588,0.8398863424058896,0.9453376205787781,0.7400867938995361,0.9268113970756531
