Decile,N,Deaths,Mean Predicted Risk,Observed Risk,Min Predicted Risk,Max Predicted Risk
1,2391,13,0.018685480726579776,0.005437055625261397,0.008221127092838287,0.02522348240017891
2,2390,50,0.031206101825982956,0.02092050209205021,0.025230003520846367,0.03765115886926651
3,2390,71,0.04580855965926059,0.029707112970711297,0.03765801712870598,0.05326226353645325
4,2390,108,0.06086244599340351,0.045188284518828455,0.05326303094625473,0.07135052978992462
5,2390,186,0.0905284396088273,0.07782426778242678,0.07135774940252304,0.11811520159244537
6,2393,313,0.15393608908771822,0.13079816130380276,0.11817052960395813,0.18466129899024963
7,2387,503,0.2117051255593102,0.2107247591118559,0.18466132879257202,0.24585016071796417
8,2390,692,0.2977704572627734,0.2895397489539749,0.24592240154743195,0.3690609931945801
9,2390,1270,0.4992021034950991,0.5313807531380753,0.3692580759525299,0.6393521428108215
10,2390,2066,0.7952295602116126,0.8644351464435146,0.6395477056503296,0.9300719499588013
