dbname,Missing feature cells,Observed feature cells,Total feature cells,Overall missing percent,N residents/rows
C001,51,1515,1566,0.032567049808429116,54
C0012,129,2104,2233,0.057769816390506046,77
C0013,75,1723,1798,0.04171301446051168,62
C0017,78,1285,1363,0.05722670579603815,47
C0018,9,1615,1624,0.005541871921182266,56
C002,33,1794,1827,0.0180623973727422,63
C0022,63,1474,1537,0.04098893949251789,53
C0025,54,3252,3306,0.016333938294010888,114
C0026,66,1442,1508,0.04376657824933687,52
C0027,60,723,783,0.07662835249042145,27
C0028,147,3014,3161,0.046504270800379624,109
C0029,1218,1653,2871,0.42424242424242425,99
C003,111,1890,2001,0.05547226386806597,69
C0035,60,1361,1421,0.0422237860661506,49
C0036,0,435,435,0.0,15
C0037,27,1510,1537,0.01756668835393624,53
C005,0,1595,1595,0.0,55
C0052,141,2179,2320,0.060775862068965514,80
C0053,15,652,667,0.022488755622188907,23
C0055,150,1967,2117,0.07085498346717052,73
C0056,51,1660,1711,0.029807130333138514,59
C0057,105,4013,4118,0.025497814473045166,142
C0058,93,3503,3596,0.02586206896551724,124
C0059,18,1229,1247,0.014434643143544507,43
C006,18,1925,1943,0.009264024704065878,67
C0063,12,713,725,0.016551724137931035,25
C0065,117,3769,3886,0.0301080802882141,134
C0066,0,580,580,0.0,20
C0067,39,947,986,0.03955375253549696,34
C0068,24,1368,1392,0.017241379310344827,48
C007,111,1426,1537,0.07221860767729343,53
C0071,324,1329,1653,0.19600725952813067,57
C0072,228,381,609,0.37438423645320196,21
C0075,27,2873,2900,0.009310344827586206,100
C0076,36,1733,1769,0.02035048049745619,61
C0077,21,1081,1102,0.019056261343012703,38
C0079,12,1206,1218,0.009852216748768473,42
C008,42,3235,3277,0.01281660054928288,113
C0085,54,1570,1624,0.0332512315270936,56
C0086,237,1706,1943,0.12197632527020072,67
C0089,30,2638,2668,0.011244377811094454,92
C009,57,1306,1363,0.04181951577402788,47
C0092,120,3592,3712,0.032327586206896554,128
C0093,60,1564,1624,0.03694581280788178,56
C0095,9,1238,1247,0.007217321571772253,43
C0096,9,832,841,0.01070154577883472,29
C0097,99,3729,3828,0.02586206896551724,132
C0098,54,149,203,0.2660098522167488,7
C011,39,1150,1189,0.03280067283431455,41
C0113,42,1872,1914,0.0219435736677116,66
C0115,93,2488,2581,0.036032545524990314,89
C0116,60,2028,2088,0.028735632183908046,72
C0117,24,1281,1305,0.01839080459770115,45
C0118,9,1383,1392,0.00646551724137931,48
C0119,30,898,928,0.032327586206896554,32
C012,150,4693,4843,0.03097253768325418,167
C0122,357,310,667,0.5352323838080959,23
C0123,60,1622,1682,0.0356718192627824,58
C0125,45,2304,2349,0.019157088122605363,81
