Feature,Feature_EN,ApproxMeanAbsSHAP,ApproxCI_low,ApproxCI_high,OfficialFeature_EN,OfficialMeanAbsSHAP,MeanAbsSHAP,CI_low,CI_high,Rank,Bootstrap N,SHAP cohort,SHAP rows,CI method
六個月內住院次數,Hospitalizations within 6 Months,0.09948134372029685,0.0978029582619055,0.10110302059896237,Hospitalizations within 6 Months,0.0994816531949012,0.0994816531949012,0.09780326251525272,0.10110333511841021,1,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
ADL_diff_seq,ADL Change,0.08739068207767704,0.08519924515322896,0.08954018996231201,ADL Change,0.0873907493672057,0.0873907493672057,0.0851993107553837,0.08954025890692985,2,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
BW_diff_seq,Body Weight Change,0.06519819440832111,0.06350638484459906,0.0668093036820426,Body Weight Change,0.0651980194534661,0.0651980194534661,0.06350621442959824,0.06680912440388703,3,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
ADL_last_score,ADL Last Score,0.04396452666497754,0.04289466647025542,0.04507047265604619,ADL Last Score,0.0439645521853179,0.0439645521853179,0.04289469136956791,0.045070498818361344,4,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
ADL_總分_max,ADL Total Max,0.01667835197950725,0.01606836497398448,0.017286831305452555,ADL Total Max,0.0166783481189878,0.0166783481189878,0.01606836125465804,0.017286827304089078,5,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
性別_is_male,Male,0.008861561799764607,0.00870131548358419,0.009019666030476397,Male,0.0088615565838209,0.0088615565838209,0.008701310361961976,0.00901966072147203,6,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
ADL_Max,ADL Maximum,0.008046728629395436,0.007852929772497604,0.008241363254000727,ADL Maximum,0.0080467241748538,0.0080467241748538,0.007852925425239948,0.008241358691712442,7,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
ADL_std,ADL Standard Deviation,0.006663040420696862,0.006482681123379112,0.006848673237392457,ADL Standard Deviation,0.0066630622176575,0.0066630622176575,0.006482702330326144,0.006848695641618088,8,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
BW_first,Body Weight (First),0.004744801161570464,0.004627579692756351,0.004861822433772899,Body Weight (First),0.0047447981507591,0.0047447981507591,0.004627576756327815,0.004861819348705741,9,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
使用呼吸輔具,Use of Respiratory Aid,0.004159927084886573,0.0039056721633199992,0.00440351946232184,Use of Respiratory Aid,0.0041599318354061,0.0041599318354061,0.0039056766234875687,0.004403524491016999,10,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
BW_last,Body Weight (Last),0.0031128595206120417,0.0029738875612339965,0.00324951960295416,Body Weight (Last),0.0031128638480843,0.0031128638480843,0.002973891695508555,0.0032495241204101646,11,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
DNR_flag,DNR Flag,0.0024317232164708627,0.002375611290313036,0.0024852231890624384,DNR Flag,0.0024317262693436,0.0024317262693436,0.002375614272740844,0.002485226309100964,12,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
預估年齡,Estimated Age,0.0015273327228294737,0.0014926958323649019,0.001559326030638549,Estimated Age,0.0015273322983005,0.0015273322983005,0.001492695417463407,0.001559325597216892,13,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
ADL_first_score,ADL First Score,0.0011683713557452745,0.0011228603355651887,0.0012173722769406785,ADL First Score,0.0011683749164679,0.0011683749164679,0.0011228637575886598,0.0012173759869982634,14,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
ADL_Min,ADL Minimum,0.0006837702835312223,0.0006616265756422425,0.0007053508695348619,ADL Minimum,0.0006837702833292,0.0006837702833292,0.0006616265754467627,0.0007053508693264636,15,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
意識總分_diff,Consciousness Score Difference,0.0006777308685093188,0.0006471028842431295,0.000709748552154819,Consciousness Score Difference,0.000677729404066,0.000677729404066,0.0006471014859808702,0.0007097470185275733,16,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
last_has_feeding_tube,Has Feeding Tube (Last),0.0,0.0,0.0,Has Feeding Tube (Last),0.0006413074930225,0.0006413074930225,0.0006413074930225,0.0006413074930225,17,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
first_has_feeding_tube,Has Feeding Tube (First),0.0,0.0,0.0,Has Feeding Tube (First),0.0005630092988201,0.0005630092988201,0.0005630092988201,0.0005630092988201,18,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
diff_has_feeding_tube,Feeding Tube Change,0.000547842106069685,0.00047949359570376144,0.0006219312439699635,Feeding Tube Change,0.0005478428737097,0.0005478428737097,0.0004794942675733875,0.0006219321154241729,19,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
意識總分Max,Consciousness Score Max,0.0,0.0,0.0,Consciousness Score Max,0.0005369138697163,0.0005369138697163,0.0005369138697163,0.0005369138697163,20,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
